,species,k,lag,smoother,log_likelihood,num_train_states,num_test_states
450,mul,3,100,0.001,-0.13514113688115875,1000,728
451,mul,3,1,0.01,-0.1220926651472636,1000,154
452,mul,3,10,0.01,-0.1181763195942531,1000,336
453,mul,3,20,0.01,-0.11965340700518569,1000,440
454,mul,3,30,0.01,-0.12013002935347494,1000,501
455,mul,3,40,0.01,-0.12307851101052604,1000,555
456,mul,3,50,0.01,-0.12206935067717715,1000,584
457,mul,3,60,0.01,-0.12262476071710486,1000,616
458,mul,3,70,0.01,-0.1264352927317906,1000,649
459,mul,3,80,0.01,-0.12760296539819302,1000,681
460,mul,3,90,0.01,-0.12792577636972888,1000,713
461,mul,3,100,0.01,-0.1309174742369405,1000,728
462,mul,3,1,0.1,-0.1218989757708055,1000,154
463,mul,3,10,0.1,-0.11771787736244138,1000,336
464,mul,3,20,0.1,-0.11873835762121122,1000,440
465,mul,3,30,0.1,-0.11913968931726727,1000,501
466,mul,3,40,0.1,-0.1217318494401508,1000,555
467,mul,3,50,0.1,-0.12101282959573077,1000,584
468,mul,3,60,0.1,-0.12107390240869247,1000,616
469,mul,3,70,0.1,-0.12423209533778959,1000,649
470,mul,3,80,0.1,-0.12534578783575134,1000,681
471,mul,3,90,0.1,-0.12564463431119174,1000,713
472,mul,3,100,0.1,-0.12797567457841055,1000,728
473,mul,3,1,1.0,-0.12279149505106345,1000,154
474,mul,3,10,1.0,-0.12021163096390146,1000,336
475,mul,3,20,1.0,-0.12215709066298225,1000,440
476,mul,3,30,1.0,-0.1237144817239823,1000,501
477,mul,3,40,1.0,-0.1267146817381971,1000,555
478,mul,3,50,1.0,-0.12695960881540608,1000,584
479,mul,3,60,1.0,-0.12724473038444742,1000,616
480,mul,3,70,1.0,-0.13005343500501024,1000,649
481,mul,3,80,1.0,-0.13236708103999997,1000,681
482,mul,3,90,1.0,-0.13397634852057427,1000,713
483,mul,3,100,1.0,-0.1356817449360092,1000,728
484,mul,4,1,0.001,-0.12212254930390477,10000,304
485,mul,4,10,0.001,-0.12615051174738975,10000,1046
486,mul,4,20,0.001,-0.13719401643347023,10000,1511
487,mul,4,30,0.001,-0.14719577172024464,10000,1729
488,mul,4,40,0.001,-0.15661655044252565,10000,1937
489,mul,4,50,0.001,-0.16568093864612246,10000,2082
490,mul,4,60,0.001,-0.17600094945622505,10000,2239
491,mul,4,70,0.001,-0.18470926366591042,10000,2361
492,mul,4,80,0.001,-0.19467795395125528,10000,2465
493,mul,4,90,0.001,-0.21065457321426728,10000,2563
494,mul,4,100,0.001,-0.21910735377263046,10000,2597
495,mul,4,1,0.01,-0.1215892713541989,10000,304
496,mul,4,10,0.01,-0.1234350043424574,10000,1046
497,mul,4,20,0.01,-0.13284957632020977,10000,1511
498,mul,4,30,0.01,-0.14162873656079922,10000,1729
